window_id,window_label,stock_code,company_name,cb_code,issue_date,factor_as_of_date,buy_date,buy_price,sell_date,sell_price,return_pct,momentum_20d,momentum_60d,ma5_gt_ma10_gt_ma20,volume_ratio_5v20,top1_foreign_net_20d_pct_capital,top1_trust_net_20d_pct_capital,revenue_yoy,eps,contract_liability_growth
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,4967,十銓科技股份有限公司,49672,2020-10-07,2020-11-04,2020-11-05,40.6936,2021-08-18,65.5451,61.0698,-2.489,-17.2302,False,0.6738,,,0.8405,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,8044,網路家庭國際資訊股份有限公司,80441,2020-10-07,2020-09-11,2020-09-14,103.2394,2020-10-21,95.0966,-7.8873,-7.8947,-10.1637,False,0.4504,,,0.14679999999999999,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,8044,網路家庭國際資訊股份有限公司,80441,2020-10-07,2020-11-04,2020-11-05,91.6068,2021-08-18,105.6343,15.3127,-10.6667,-22.7984,False,1.1139,,,-0.006500000000000001,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,3163,波若威科技股份有限公司,31632,2020-10-08,2020-09-14,2020-09-15,53.5449,2020-10-22,54.2039,1.2308,-5.6864,41.4196,False,0.8664,,,0.5394,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,3163,波若威科技股份有限公司,31632,2020-10-08,2020-11-05,2020-11-06,50.4969,2021-08-19,32.2505,-36.1338,-7.657,-10.7833,False,0.5911,,,0.4014,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,5263,智崴資訊科技股份有限公司,52633,2020-10-12,2020-09-15,2020-09-16,99.5697,2020-10-23,99.0816,-0.4902,-3.7383,-4.2399,False,1.0813,,,-0.5377000000000001,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,5263,智崴資訊科技股份有限公司,52633,2020-10-12,2020-11-06,2020-11-09,98.5935,2021-08-20,114.2123,15.8416,-0.495,-7.3733,False,1.5865,,,-0.6225999999999999,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,3171,新洲全球股份有限公司,31712,2020-10-15,2020-09-18,2020-09-21,25.3289,2020-10-28,27.727,9.4678,0.4566,-4.7634,False,0.978,,,0.096,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,3171,新洲全球股份有限公司,31712,2020-10-15,2020-11-11,2020-11-12,25.4311,2021-08-25,26.2185,3.0961,-9.6953,6.1402,False,0.7167,,,0.1255,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,5263,智崴資訊科技股份有限公司,52634,2020-10-15,2020-09-18,2020-09-21,99.5697,2020-10-28,97.6173,-1.9608,-3.3333,-4.365,False,1.5852,,,-0.5377000000000001,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,5263,智崴資訊科技股份有限公司,52634,2020-10-15,2020-11-11,2020-11-12,109.8195,2021-08-25,120.5574,9.7778,12.7254,5.6338,False,1.7965,,,-0.49439999999999995,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,5309,系統電子工業股份有限公司,53094,2020-10-20,2020-09-23,2020-09-24,33.1871,2020-11-02,39.0998,17.8161,-6.3661,26.5233,False,1.0468,,,0.2419,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,5309,系統電子工業股份有限公司,53094,2020-10-20,2020-11-16,2020-11-17,45.7754,2021-08-30,29.897,-34.6875,21.1392,33.6592,True,0.451,,,0.3369,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,2618,長榮航空股份有限公司,26184,2020-10-21,2020-09-24,2020-09-25,8.7684,2020-11-03,8.9733,2.3365,-3.6485,-3.2202,False,0.4961,,,-0.6267,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,2618,長榮航空股份有限公司,26184,2020-10-21,2020-11-17,2020-11-18,9.9157,2021-08-31,15.734,58.6777,13.0841,14.01,True,2.4506,,,-0.5708,,
