stock_code,company_name,cb_code,short_name,issue_date,signal_date,entry_date,trust_daily_pct_capital,ma5,ma10,ma20,signal_volume,avg_volume_prev20,volume_ratio_signal_v20,fin_month,revenue_yoy,revenue_mom,revenue_high_6,fin_quarter,eps,operating_income,gross_margin,operating_margin,three_margin_qoq_rise,fixed_return_365d,hit_100_365d,min_low_return_365d,max_high_return_365d
3346,麗清科技股份有限公司,33464,麗清四,2022-02-17,2022-08-11,2022-08-12,0.436682,28.6784,28.3247,27.9554,3989699.0,314908.35,12.6694,2022-07,0.35719999999999996,0.15578422373594117,False,,,,,,,34.3787,False,-21.0613,61.8173
6187,萬潤科技股份有限公司,61874,萬潤四,2022-02-22,2022-02-22,2022-02-23,0.201623,118.0052,116.6653,113.0697,920000.0,1525750.0,0.603,2022-01,-0.051500000000000004,0.319466491966303,False,,,,,,,-42.8069,False,-56.8642,18.5606
6282,康舒科技股份有限公司,62821,康舒一,2022-02-23,2023-02-02,2023-02-03,1.147463,31.6048,29.3204,28.5459,57492597.0,9987970.65,5.7562,2022-12,-0.11460000000000001,-0.13636190761257996,False,,,,,,,13.8024,False,-8.094,63.7543
3707,漢磊科技股份有限公司,37074,漢磊四,2022-04-07,2022-05-25,2022-05-26,0.338105,117.3758,115.111,111.5414,8792000.0,9402000.0,0.9351,2022-04,0.2977,0.004366062917063871,True,,,,,,,-37.1503,False,-40.0887,10.5691
2383,台光電子材料股份有限公司,23835,台光電五,2022-04-25,2022-05-24,2022-05-25,0.295868,202.0704,198.1003,197.4089,1980042.0,2105840.45,0.9403,2022-04,0.0407,-0.1078096844688111,False,,,,,,,-3.771,False,-39.621,8.2222
3548,兆利科技工業股份有限公司,35481,兆利一,2022-04-28,2023-05-12,2023-05-15,0.209576,64.2441,62.9949,62.5399,4663750.0,881448.75,5.291,2023-04,0.5694,0.06078052632702281,True,,,,,,,182.8083,True,-13.2732,304.6852
5388,中磊電子股份有限公司,53886,中磊六,2022-05-17,2022-07-14,2022-07-15,0.305084,73.7882,69.9897,69.8264,23351640.0,7298254.9,3.1996,2022-06,0.5857,0.24350100686712722,True,,,,,,,35.7602,False,-18.674,40.9818
3033,威健實業股份有限公司,30336,威健六,2022-06-01,2023-06-08,2023-06-09,0.274824,26.3201,25.7149,25.2376,7723104.0,2208845.65,3.4964,2023-04,-0.0617,-0.24209200660685426,False,,,,,,,25.8182,False,-12.0095,34.8639
6570,維田科技股份有限公司,65701,維田一,2022-06-06,2023-05-16,2023-05-17,0.223203,57.8174,56.4521,55.1893,744000.0,2001650.0,0.3717,2023-04,0.25780000000000003,0.12677035681610246,False,,,,,,,-15.3355,False,-22.6014,15.466
6285,啟碁科技股份有限公司,62853,啟碁三,2022-06-27,2022-08-10,2022-08-11,0.320508,68.5119,65.9639,63.905,18422283.0,5931077.15,3.1061,2022-07,0.4355,0.007721645727926067,True,,,,,,,48.6329,False,-7.4341,55.5025
3680,家登精密工業股份有限公司,36803,家登三,2022-07-07,2022-07-22,2022-07-25,0.23782,191.9366,180.5118,180.0777,1542662.0,1168412.65,1.3203,2022-06,0.8774,0.1870146678170837,False,,,,,,,76.6894,True,-5.7143,114.0285
