stock_code,company_name,short_name,cb_code,issue_date,buy_date,buy_price,sell_date,sell_price,return_pct,momentum_5d,momentum_10d,momentum_20d,volume_ratio_5v20,avg_volume_20,ma_bull
8091,翔名科技股份有限公司,翔名四,80914,2024-08-15,2024-07-16,141.1,2024-08-23,137.9,-2.27,-3.459120880179763,-3.761755158592189,3.367006916313659,0.5681336808583802,862825.1,False
8112,至上電子股份有限公司,至上十,811210,2024-05-24,2024-04-24,74.18,2024-06-03,72.76,-1.92,-2.2619035326421724,0.0,8.885933653678704,0.5047082394552274,17101631.25,False
3362,先進光電科技股份有限公司,先進光一,33621,2024-07-16,2024-06-17,251.99,2024-07-26,248.45,-1.41,8.974357620767506,7.822413170934361,18.8811188307787,1.0129332491668992,3405950.0,False
8478,東哥企業股份有限公司,東哥遊艇一,84781,2024-07-15,2024-06-17,360.06,2024-07-23,355.76,-1.19,1.3386878082598552,2.297300383323568,2.8532620721826754,0.7032092801953382,294136.05,False
3376,新日興股份有限公司,新日興三,33763,2024-08-23,2024-07-26,216.42,2024-09-02,214.26,-1.0,0.8583696276160381,3.982303414743018,-0.21231435448653274,1.3261112198506113,8321109.9,True
5212,凌網科技股份有限公司,凌網一,52121,2024-10-15,2024-09-16,52.77,2024-10-23,52.34,-0.83,0.6711397577169845,2.5641037141760172,3.6269462142040507,0.5276595744680851,11750.0,True
8433,弘帆股份有限公司,弘帆二,84332,2024-05-24,2024-04-24,81.81,2024-06-03,81.21,-0.74,-1.2083092154311355,-2.1721324893518736,-0.7192450807206691,1.7670625775571707,282050.0,False
4137,麗豐股份有限公司,麗豐二KY,41372,2024-08-12,2024-07-15,129.13,2024-08-20,128.94,-0.15,-3.5369833953039422,-5.956107241701028,-10.447764373898458,2.032021763817653,152252.7,False
8374,羅昇企業股份有限公司,羅昇二,83742,2024-11-15,2024-10-16,129.86,2024-11-25,129.86,0.0,-5.882352277921613,-8.571432639752441,-11.724140192000027,0.21048167026971407,12550325.15,False
2528,皇普建設股份有限公司,皇普三,25283,2024-12-31,2024-12-02,36.79,2025-01-08,36.88,0.23,2.781144320792479,13.941019021923406,13.333319132862446,3.082334802391889,370736.3,True
5244,弘凱光電股份有限公司,弘凱一,52441,2024-09-25,2024-08-26,41.2,2024-10-04,41.53,0.81,4.878048069934029,6.172851642951195,-9.378294991235732,0.30833013358268574,138812.9,False
1595,川寶科技股份有限公司,川寶二,15952,2024-09-02,2024-08-05,35.81,2024-09-10,36.15,0.96,-1.7195729198555827,-4.621306035166399,-4.8777818930327195,0.13143631436314362,295200.0,False
6243,迅杰科技股份有限公司,迅杰三,62433,2024-06-25,2024-05-27,57.53,2024-07-03,58.15,1.09,0.6677763118238621,4.8695618674522105,3.430528391437094,0.7710531969300954,390767.85,True
3526,凡甲科技股份有限公司,凡甲六,35266,2024-01-29,2024-01-02,160.16,2024-02-15,162.66,1.56,0.0,-1.2853491471117593,4.065037345522275,0.8657545112036487,504300.0,False
1101,臺灣水泥股份有限公司,台泥一永,11011,2024-12-10,2024-11-11,30.78,2024-12-18,31.26,1.56,-1.6949193976390473,-0.4680198791499359,-1.8461523628703596,0.7885891927458483,9987356.5,False
1402,遠東新世紀股份有限公司,遠東新E1永,140201,2024-08-08,2024-07-09,34.4,2024-08-16,35.03,1.82,3.443524985802055,2.735977177101776,7.593120491381883,0.9826033571100923,11338383.0,True
1402,遠東新世紀股份有限公司,遠東新E2永,140202,2024-08-08,2024-07-09,34.4,2024-08-16,35.03,1.82,3.443524985802055,2.735977177101776,7.593120491381883,0.9826033571100923,11338383.0,True
6184,大豐有線電視股份有限公司,大豐電三,61843,2024-03-06,2024-02-05,43.15,2024-03-14,44.07,2.12,0.19342159317319296,1.171871785744312,0.19342159317319296,0.5269775759164215,30141.7,True
